step,S,plaq_Z,plaq_U,Pol_re,Pol_im,accU,accZ
10,,0.19983238329287836,0.15221110938081878,1.1099557349473486,1.7013761276565842e-14,0.810546875,0.349609375
20,,0.20124121059975178,0.1546750496965469,1.118448952465851,1.1992251809644916e-14,0.81640625,0.328125
30,,0.19969533024774205,0.15369860902266522,1.1173171753075752,8.827479220686885e-15,0.8203125,0.3544921875
40,,0.1998679581189608,0.16171514124133543,1.1891809833355993,5.0562852516033985e-15,0.810546875,0.3779296875
50,,0.1991682807861356,0.15863756362824522,1.094191752397746,7.756382341961299e-15,0.7890625,0.3515625
60,,0.20101782990805267,0.15628791070946205,1.082668115882973,1.08827877265405e-14,0.796875,0.3564453125
70,,0.2022239716651383,0.15887932069844757,1.060214574468221,1.5037829922265322e-14,0.779296875,0.349609375
80,,0.2011028552210511,0.15843711655803414,1.0868862583920347,2.9189216148306496e-14,0.78515625,0.33984375
90,,0.20188124781757932,0.16274362445402152,1.0442551984902742,3.87738886137301e-14,0.80078125,0.3427734375
100,,0.20273119711137436,0.16262562177031625,1.0971540787873284,2.4369286970304938e-14,0.80078125,0.35546875
110,,0.20163858375396967,0.16321715689396607,1.116234133509316,1.154107462809223e-14,0.759765625,0.34375
120,,0.20226060142504676,0.16529884537075842,1.0111515879700355,1.4471361392195958e-14,0.818359375,0.3505859375
130,,0.19968979180331942,0.16467782579377288,1.042197998028461,2.375270119481243e-14,0.78125,0.3642578125
140,,0.20021273702805747,0.1640278658861812,1.089547296652697,2.453582042399871e-14,0.8125,0.3779296875
150,,0.2009369317094992,0.1645598269415693,1.0533402464154469,2.0045732651921555e-14,0.810546875,0.3330078125
160,,0.20072484825506584,0.16807040387767558,1.051387783752356,-8.590567493471646e-15,0.787109375,0.3466796875
170,,0.20093429891114645,0.16801519736272577,1.089760217953992,5.049942668894358e-15,0.828125,0.3369140625
180,,0.19988913074939138,0.16898568102357214,1.078680947668208,1.75319828099596e-14,0.818359375,0.3583984375
190,,0.19660577561673512,0.1669252598924642,1.1301149657370297,2.8721166070444504e-14,0.79296875,0.35546875
200,,0.1997786963571025,0.16434837521657672,1.1637328633134982,2.051597823918283e-14,0.79296875,0.3564453125
210,,0.19825126034696788,0.1620984648637129,1.1113158860999721,2.240379106191459e-14,0.7890625,0.3603515625
220,,0.20139755558025726,0.16467252186032472,1.2240094179784247,2.70684082787076e-14,0.76953125,0.3349609375
230,,0.2002751789232624,0.1542988021298816,1.1430000238359657,2.0999044517133747e-14,0.794921875,0.3515625
240,,0.20302624922447413,0.15887386743074705,1.163982421910409,2.2764559334809142e-14,0.787109375,0.36328125
250,,0.2054582253976596,0.15482886479656102,1.1302168980401006,1.7015306264661634e-14,0.763671875,0.3671875
260,,0.20483256044140657,0.1539593632882652,1.162012073390522,1.9580267718614583e-14,0.77734375,0.3642578125
270,,0.20300485030031462,0.15198369247521432,1.2048162207621091,2.0478844314775202e-14,0.794921875,0.34375
280,,0.20319514464891952,0.15576608707411582,1.1671514445795197,2.8354380475492658e-14,0.802734375,0.3583984375
290,,0.20366706326662368,0.15540926989623,1.1325852017997164,2.9940066810334176e-14,0.748046875,0.3720703125
300,,0.20310710572022866,0.15376975846279878,1.1207510650160697,3.4974844201340893e-14,0.79296875,0.3369140625
310,,0.20017381933661849,0.1511785957162628,1.1324352402409719,3.130850613486391e-14,0.779296875,0.3388671875
320,,0.20114508067690345,0.15455101120708167,1.1439778413447392,3.1966267875988344e-14,0.794921875,0.3525390625
330,,0.20089332532082405,0.15158653499341956,1.22017643445721,3.2139221839422305e-14,0.818359375,0.359375
340,,0.20136548370779128,0.15569825629986922,1.1874588900901788,2.9502550576154807e-14,0.76953125,0.3515625
350,,0.20123371566790893,0.15426935886505053,1.19213850080537,2.697198204799217e-14,0.794921875,0.3349609375
360,,0.2024537507473796,0.15632345755929647,1.1194142209225515,3.3369194993998486e-14,0.794921875,0.3564453125
370,,0.2036000905696068,0.1572741864580933,1.1366674562883938,2.7597227888337406e-14,0.78515625,0.33984375
380,,0.20295767744314222,0.15482894343958356,1.1310328782225585,2.4528231008791312e-14,0.8203125,0.3544921875
390,,0.2039061810971589,0.15341025569198127,1.1849676539424137,2.575031659256266e-14,0.8359375,0.34375
400,,0.20205647134212595,0.156472867601915,1.1014645126110418,2.7915522541124838e-14,0.79296875,0.3740234375
410,,0.20100441810584285,0.15891686660054077,1.1625430785750739,2.6729296944208447e-14,0.7578125,0.3828125
420,,0.19984825934385356,0.15464481279965575,1.1413044290104288,2.579031010020022e-14,0.810546875,0.3876953125
430,,0.19908653059698572,0.15897506243474435,1.0991815454388918,3.250946332879895e-14,0.76953125,0.3525390625
440,,0.1999776552515594,0.15520800884564032,1.120458316994402,2.884232566321976e-14,0.775390625,0.3408203125
450,,0.2022116165627558,0.15697348633055094,1.1484055403760665,2.5024212845121963e-14,0.794921875,0.3671875
460,,0.20139551750064025,0.15975178719920657,1.2313134773983978,2.627881094154072e-14,0.779296875,0.359375
470,,0.201632184209642,0.15854967848220838,1.2151194842175181,1.441468472362928e-14,0.79296875,0.3408203125
480,,0.20361910264682223,0.16081266503993494,1.2635333217166371,2.1312758415742428e-14,0.794921875,0.3447265625
490,,0.20296261047020983,0.16006369865888406,1.1958701301303252,1.6261731544675584e-14,0.79296875,0.3544921875
500,,0.20188730728331422,0.1574465101693322,1.115936516904323,1.4718044491490723e-14,0.7734375,0.337890625
510,,0.2024146499871056,0.15880773485502508,1.096399375255293,1.5134866016702775e-14,0.755859375,0.369140625
520,,0.1993002207619017,0.1600843235131837,1.1224016794147071,2.6906753734790012e-14,0.77734375,0.34375
530,,0.20274277928087103,0.15910540720472166,1.135655672797101,2.3888443306807616e-14,0.78125,0.3525390625
540,,0.20401213088102912,0.1568106655482949,1.0365752153753691,2.801014628572851e-14,0.806640625,0.3447265625
550,,0.20155013671170477,0.16284061378952283,1.143276252773638,3.2075687592114654e-14,0.810546875,0.3369140625
560,,0.20253035853522283,0.16332481671442986,1.166082676717024,2.886704547275243e-14,0.791015625,0.3583984375
570,,0.20031854028517876,0.16208385070947584,1.143888172528752,2.3660679535422724e-14,0.806640625,0.3603515625
580,,0.2023146136163932,0.16549080289128348,1.0568698489373969,2.2416693067767168e-14,0.79296875,0.3828125
590,,0.20086608909708123,0.16126418240148077,1.1261638873182966,2.885311347483599e-14,0.79296875,0.3408203125
600,,0.20101490452008008,0.16248313236656847,1.2046392440267464,3.1852775625451635e-14,0.79296875,0.3603515625
610,,0.20145575221468315,0.1641517905332752,1.270432545791742,2.0035459836337255e-14,0.771484375,0.3896484375
620,,0.2000654110077465,0.15770941517609197,1.13443862469625,2.8419269975515915e-14,0.779296875,0.3701171875
630,,0.20213407452210555,0.16265446578212675,1.1691543739792956,3.495879800918811e-14,0.783203125,0.3623046875
640,,0.20109084041902267,0.16209973948071815,1.1174972788643935,3.607552624684818e-14,0.7734375,0.3662109375
650,,0.2029432623931296,0.1609612822852349,1.2182797608110614,2.62231642650379e-14,0.810546875,0.357421875
660,,0.20421355535135138,0.1563714297787534,1.2562830369046591,3.0941070018608574e-14,0.798828125,0.361328125
670,,0.20134459954080924,0.15331976653899818,1.2701652867004976,2.8529479126349067e-14,0.80859375,0.375
680,,0.20061519049389995,0.15077252961191526,1.1594064277604894,2.027924269482062e-14,0.78125,0.3408203125
690,,0.2042343715060607,0.15054379461628636,1.1890903939051316,2.1365938532302842e-14,0.80078125,0.357421875
700,,0.2027879090327248,0.15315002864899468,1.2148598042890832,2.744118409066243e-14,0.810546875,0.3671875
710,,0.20253840695552616,0.15245620861318468,1.1889947969711636,2.9571126363564515e-14,0.810546875,0.3447265625
720,,0.20184553438237943,0.15665268459589993,1.1495596930422962,2.179690889586583e-14,0.8125,0.359375
730,,0.203902175923913,0.16125002195331148,1.2405754735752081,1.849058016076266e-14,0.794921875,0.3642578125
740,,0.20314660263330553,0.15885768049746773,1.1478438853739295,2.010045775657776e-14,0.771484375,0.361328125
750,,0.20179391396963967,0.16279883674643386,1.176886586265096,2.431125504902265e-14,0.771484375,0.3369140625
760,,0.19970515110989676,0.1592133871059752,1.127230158524666,1.9400930514890113e-14,0.814453125,0.359375
770,,0.19968197316530395,0.16091589960535577,1.1077348145774377,2.659835242682651e-14,0.783203125,0.3623046875
780,,0.20161288398589494,0.15919124037720753,1.1257021239646854,3.391576841420274e-14,0.828125,0.333984375
790,,0.20094817332904366,0.16323348334069035,1.105714968488505,3.111441361719827e-14,0.7734375,0.3515625
800,,0.19955460523023788,0.15809574934916112,1.1629382794828143,2.8523624434617645e-14,0.76171875,0.3740234375
810,,0.20121842036323376,0.15653508799644963,1.1245873508475355,2.848345474412706e-14,0.77734375,0.376953125
820,,0.20081849541807656,0.15473541143039435,1.1783057714641478,3.498964356099532e-14,0.806640625,0.330078125
830,,0.2014531219914663,0.1550341249787464,1.130227874134789,2.7277279827236933e-14,0.810546875,0.3271484375
840,,0.20284292901328566,0.1527813921762419,1.1310302513408508,3.583857386205147e-14,0.80078125,0.341796875
850,,0.20405799913912492,0.15250330700276943,1.1924122116049494,3.0801858459661435e-14,0.765625,0.3525390625
860,,0.20223145596656558,0.1530169364626206,1.128123188323739,3.590129495772976e-14,0.7578125,0.3837890625
870,,0.2047307566046365,0.15050262537261339,1.16116659572948,3.214450732501317e-14,0.78515625,0.380859375
880,,0.19983534059025468,0.1549498806900235,1.1416543270040451,3.4008115334244193e-14,0.8046875,0.369140625
890,,0.20255671091440777,0.15536018936595913,1.147086202251429,3.0548846330184787e-14,0.810546875,0.326171875
900,,0.20463212628523508,0.1504617564459405,1.0986607643092676,4.024515096179293e-14,0.794921875,0.3642578125
910,,0.20257185708610725,0.1508953841411083,1.1859811351874348,2.762224585346751e-14,0.76171875,0.3359375
920,,0.202670210215212,0.1474980033572068,1.197662086965535,2.6164346297180563e-14,0.7734375,0.365234375
930,,0.20129998246838718,0.15090642098228807,1.1730255030105703,3.4795679792337664e-14,0.80859375,0.3388671875
940,,0.20206815262021657,0.15448035921002787,1.0173291987515583,2.3986970179232237e-14,0.783203125,0.3310546875
950,,0.2036337958370864,0.1524877362954102,1.0116950688613007,2.6638576327425723e-14,0.837890625,0.3564453125
960,,0.20248568056278443,0.15483936081734465,1.1601745808236723,2.7039785341353983e-14,0.7734375,0.3388671875
970,,0.20567634373442834,0.15541913386124634,1.130978801850539,1.9062036020825457e-14,0.78515625,0.36328125
980,,0.20477300828837774,0.14999399252163123,1.1385357738359052,2.26311482574848e-14,0.82421875,0.3486328125
990,,0.20421801050896088,0.145425841332992,1.1759346936743262,1.29321466729726e-14,0.7890625,0.3408203125
1000,,0.20569020336011834,0.14541046444361108,1.0865810178727633,9.461507098629252e-15,0.77734375,0.3740234375
1010,,0.20282112006042843,0.1508618523295852,1.1657707755204905,1.9412775423624518e-14,0.787109375,0.3564453125
1020,,0.2028631225192057,0.15125722686413998,1.1141205479998402,1.6360773413132135e-14,0.7734375,0.3447265625
1030,,0.2042971496558081,0.151367153226758,1.1198752866120223,1.5665257719482684e-14,0.8203125,0.357421875
1040,,0.20441261795165752,0.15269677502146006,1.10936914526313,1.7319682472059783e-14,0.783203125,0.357421875
1050,,0.20390606764625666,0.15060749108408572,1.0201718299854687,1.8354350157789856e-14,0.830078125,0.3642578125
1060,,0.20384340124675837,0.14414785542525294,1.0917012463875926,2.349552843949887e-14,0.791015625,0.3212890625
1070,,0.2020529214292861,0.14648878408205981,1.0391212765016598,3.209037853155183e-14,0.810546875,0.337890625
1080,,0.20084878258955519,0.1503371055236184,1.096687196944534,2.2436046076546035e-14,0.771484375,0.341796875
1090,,0.2015901906589383,0.15147801977242217,1.0859042672269517,2.8402302211516517e-14,0.7578125,0.3583984375
1100,,0.20158739455265273,0.15167785526157854,1.0674979568361709,2.0209691125455675e-14,0.798828125,0.3359375
1110,,0.2017986490382435,0.14626649997556326,1.0423026518725704,2.7032466976689706e-14,0.7890625,0.357421875
1120,,0.2045369284320751,0.14652152259271595,1.0753707927434708,3.4856489981686944e-14,0.810546875,0.3544921875
1130,,0.20471987516686574,0.15032099656644377,1.047282216988013,1.7278821602684236e-14,0.7734375,0.3466796875
1140,,0.2024351219533905,0.14871950786424673,1.0488920929016627,2.3326609741025628e-14,0.77734375,0.3603515625
1150,,0.20164350625460592,0.15127229616373764,1.103838134687488,2.1005116049299666e-14,0.796875,0.3623046875
1160,,0.20361097774611436,0.14968138021774655,1.1020696199051765,1.698874331143574e-14,0.7734375,0.3798828125
1170,,0.20240473257158006,0.14828632063764627,1.0894599678572043,2.2455670135868022e-14,0.81640625,0.3486328125
1180,,0.20459757052525274,0.14970559529946711,1.1264760885118226,1.8668822997919277e-14,0.783203125,0.357421875
1190,,0.20531367205713982,0.14751005501709732,1.173561210296077,2.052549211324639e-14,0.810546875,0.3369140625
1200,,0.204805445329296,0.14246935822179851,1.239267419819774,1.7921807701076764e-14,0.830078125,0.3466796875
1210,,0.20391311122656852,0.1443799252315863,1.151218560283257,1.8494591708800856e-14,0.802734375,0.3251953125
1220,,0.2041296800882745,0.14507748720187377,1.196873349666614,1.6208144852300488e-14,0.81640625,0.3583984375
1230,,0.2026549540403929,0.14256785814802814,1.2847681277093248,3.0117374523117024e-14,0.80859375,0.3564453125
1240,,0.20332808673673908,0.13946657410548033,1.1882403425222068,2.0608840155256214e-14,0.779296875,0.333984375
1250,,0.2025171427381774,0.13690232750813858,1.1640127167101566,1.4470954816381276e-14,0.79296875,0.3583984375
1260,,0.2051144135786476,0.14167693696234496,1.146034329518983,6.558609991907938e-15,0.79296875,0.3291015625
1270,,0.2046775957459698,0.140977668876143,1.1381601245140462,1.3837238646563499e-14,0.798828125,0.373046875
1280,,0.2031284405250606,0.14148914860572043,1.130620281856167,1.723816402121603e-14,0.8125,0.34765625
1290,,0.20350484611214414,0.14047071820380222,1.0975469513691751,1.9223663459688733e-14,0.771484375,0.376953125
1300,,0.2045293323468861,0.1425807397999126,1.1246138685455382,1.9544262042092697e-14,0.7890625,0.3408203125
1310,,0.20233955974869935,0.14518840417133794,1.1189329978333988,2.3115081897173706e-14,0.7890625,0.353515625
1320,,0.20160225500270376,0.1440550079231924,1.1407295983642531,2.883218837290702e-14,0.810546875,0.3349609375
1330,,0.2020991012753833,0.14930825412861817,1.1017574576345084,2.0723223484453435e-14,0.80859375,0.36328125
1340,,0.20103299535443558,0.14262354827055573,1.053296699260249,1.219684075959293e-14,0.796875,0.3603515625
1350,,0.19988883499065666,0.14502312058103628,1.096037822093251,1.5511355221098366e-14,0.78125,0.3447265625
1360,,0.19954457590168603,0.145678099819719,1.1253411687925017,1.2649224116062507e-14,0.828125,0.341796875
1370,,0.20172106830618736,0.14441885222272954,1.1298999523537874,2.7531891154917998e-14,0.794921875,0.3701171875
1380,,0.2012701932138946,0.14470167261653794,1.1929286205185614,2.4401325144501884e-14,0.796875,0.3515625
1390,,0.2003543603402714,0.1418636572140138,1.1205224691957552,2.4642397497554036e-14,0.822265625,0.3671875
1400,,0.20066969377568988,0.13956236680918,1.226994793771125,8.517383846828874e-15,0.76953125,0.357421875
1410,,0.20239121693063736,0.13925622858627143,1.1082487502521563,1.587028712656327e-14,0.8203125,0.365234375
1420,,0.20509559939337724,0.14456537008003129,1.0845808259666516,1.88199472282366e-14,0.796875,0.34765625
1430,,0.20462031291043972,0.1499870970419292,1.1575736161283134,2.3141536430182352e-14,0.76171875,0.34765625
1440,,0.20160707720588028,0.149917890471094,1.102496832136771,1.9739635273574585e-14,0.78515625,0.3818359375
1450,,0.20352508363119673,0.1519021287322437,1.097330120636746,1.63839211295147e-14,0.783203125,0.359375
1460,,0.20239463474988004,0.1457419879922123,1.1001553875015815,1.482844337770406e-14,0.79296875,0.37109375
1470,,0.20361428516708163,0.14217533497673854,1.1708647443844018,1.845610253167762e-14,0.779296875,0.36328125
1480,,0.20205858148984338,0.1464000537929738,1.236958649153536,1.8762877536382394e-14,0.79296875,0.361328125
1490,,0.204867526292562,0.14738047738019996,1.1233358780580835,1.5531467171397972e-14,0.826171875,0.359375
1500,,0.20045510862347757,0.14496507676758752,1.0875681058974982,1.9261583430671414e-14,0.814453125,0.359375
1510,,0.2015264187724063,0.143739261352887,1.1101593058251937,3.2160038521134027e-14,0.822265625,0.369140625
1520,,0.20192751644153117,0.14378652233141864,1.0744821052524223,3.4856286693779603e-14,0.8046875,0.3427734375
1530,,0.20180731708360256,0.14289296446500024,1.1112591793113031,3.026431102254312e-14,0.796875,0.3671875
1540,,0.20146053300443015,0.140481275263875,1.1691262860312253,2.470950961203089e-14,0.794921875,0.3330078125
1550,,0.20197233009011376,0.13761641719408776,1.1952412145126,2.881543744934212e-14,0.798828125,0.345703125
1560,,0.20384292505908447,0.1395154792509529,1.0925518294053458,3.744007599608412e-14,0.794921875,0.3466796875
1570,,0.20160704515952976,0.13633789986726683,1.1757981894290028,3.2611283465322494e-14,0.82421875,0.3408203125
1580,,0.20344422403186765,0.13785345185731995,1.1281138415863639,2.569171546513982e-14,0.791015625,0.337890625
1590,,0.19854860573190772,0.1389697079714114,1.1666939004011774,2.6320688250452973e-14,0.796875,0.3388671875
1600,,0.19970395754694148,0.13766115714150795,1.2030204268067717,3.633053059781677e-14,0.802734375,0.3447265625
1610,,0.20159908431321785,0.14035493649523578,1.1845870670355068,2.3261015509590255e-14,0.796875,0.3564453125
1620,,0.2013121062703977,0.14300527097726135,1.0482164576977564,3.698511765945489e-14,0.80078125,0.3671875
1630,,0.2016168856907907,0.14130366046995665,1.0939101353633376,3.326462369446226e-14,0.796875,0.3525390625
1640,,0.20184117630828202,0.1466039147508508,0.9992305192276932,4.041645490504564e-14,0.810546875,0.326171875
1650,,0.20239190068313057,0.14385497259132032,1.118339624628988,3.6647009211965287e-14,0.8046875,0.3798828125
1660,,0.20315929299420568,0.13740146294397512,1.0663105421591068,3.2454494278653934e-14,0.8046875,0.3603515625
1670,,0.2031858111014654,0.13859691651334008,1.0371051490510017,2.8176462898987786e-14,0.80859375,0.359375
